Strand,Position,TTS categories,S2_head.reads,▽aCPSF1_head.reads
+,839190,Secondary,13,18
+,842730,Primary,6,0
-,842577,Primary,12,4
-,842539,Secondary,6,7
-,842559,Secondary,7,5
+,845689,Primary,8,1
+,851427,Primary,11,3
+,851685,Primary,10,1
+,851692,Secondary,6,0
+,854396,Primary,15,17
+,854421,Secondary,6,60
-,856184,Primary,34,71
-,856176,Secondary,6,16
-,857768,Primary,597,281
-,857689,Secondary,14,14
-,857712,Secondary,14,13
-,857723,Secondary,71,107
-,857760,Secondary,51,8
-,858697,Primary,70,80
-,858690,Secondary,27,4
+,862608,Primary,12,3
+,864871,Primary,17,7
+,864880,Secondary,17,11
-,866621,Primary,67,39
-,866611,Secondary,22,9
+,869581,Primary,9,4
-,869511,Primary,18,8
+,872077,Primary,136,119
-,872168,Primary,70,24
-,872164,Secondary,11,0
-,874919,Primary,24,4
-,876268,Primary,48,11
-,876258,Secondary,18,14
-,879262,Primary,7,0
-,880165,Primary,33,154
-,880160,Secondary,6,3
-,880606,Primary,302,271
-,880564,Secondary,7,1
-,880592,Secondary,20,0
-,880599,Secondary,51,24
-,880603,Secondary,21,11
-,880615,Secondary,100,89
-,880874,Primary,21,22
+,884164,Primary,42,265
+,884054,Secondary,14,-17
+,884135,Secondary,16,1830
+,884855,Primary,8,6
+,884874,Secondary,6,4
+,888137,Primary,91,76
+,888149,Secondary,27,9
+,888175,Secondary,42,39
+,888181,Secondary,7,4
+,888195,Secondary,13,3
+,888954,Primary,7,19
+,891504,Primary,37,25
-,891507,Primary,40,117
-,891504,Secondary,8,5
-,896196,Primary,26,12
-,896201,Secondary,8,2
-,897337,Primary,41,71
-,897315,Secondary,17,140
-,898246,Primary,19,7
-,898179,Secondary,6,0
-,898188,Secondary,16,12
+,902076,Primary,52,12
+,902452,Primary,17,19
-,902396,Primary,10,12
-,902878,Primary,32,57
-,903510,Primary,29,12
+,905662,Primary,30,39
+,905646,Secondary,22,4
+,905854,Primary,1070,1736
+,905863,Secondary,93,26
+,905882,Secondary,48,109
+,905884,Secondary,16,14
+,905889,Secondary,29,51
+,905892,Secondary,20,24
+,905895,Secondary,11,43
+,905904,Secondary,15,6
+,906792,Primary,29,34
+,906832,Secondary,26,15
+,906840,Secondary,13,-1
+,906843,Secondary,9,-5
+,906851,Secondary,10,25
+,906873,Secondary,6,8
-,908338,Primary,30,39
-,909193,Primary,52,22
-,909133,Secondary,10,23
-,909181,Secondary,10,21
+,912682,Primary,25,24
+,912723,Secondary,6,42
+,919458,Primary,13,14
-,920275,Primary,59,66
-,920268,Secondary,7,-3
-,921639,Primary,6,31
-,922046,Primary,13,17
-,921987,Secondary,6,9
+,925587,Primary,18,9
+,925583,Secondary,17,7
+,925591,Secondary,7,4
-,925507,Primary,23,17
-,926374,Primary,18,11
-,928961,Primary,7,2
-,928975,Secondary,6,1
-,933263,Primary,66,13
-,933156,Secondary,6,7
-,933174,Secondary,10,12
-,933214,Secondary,14,2
-,933225,Secondary,14,4
-,934851,Primary,21,4
-,934819,Secondary,6,0
+,936427,Primary,135,82
+,936422,Secondary,68,35
+,936432,Secondary,36,5
+,936436,Secondary,7,1
+,936440,Secondary,9,1
+,937897,Primary,31,154
-,940211,Primary,203,450
-,940121,Secondary,10,38
-,940185,Secondary,15,24
-,940191,Secondary,16,0
-,940201,Secondary,154,299
-,940218,Secondary,146,398
-,941792,Primary,8,1
+,943739,Primary,33,20
+,943745,Secondary,30,5
+,943750,Secondary,21,2
+,943867,Secondary,8,9
+,943904,Secondary,20,19
+,943908,Secondary,9,11
+,943910,Secondary,6,-2
+,946332,Primary,36,16
+,946323,Secondary,16,5
+,946334,Secondary,7,2
+,946343,Secondary,11,10
-,947236,Primary,12,21
+,951131,Primary,39,35
+,952100,Primary,297,140
+,952109,Secondary,9,42
+,952136,Secondary,11,6
+,952482,Primary,33,14
-,952488,Primary,161,56
-,952332,Secondary,9,18
-,952345,Secondary,28,45
-,952467,Secondary,15,7
-,952474,Secondary,80,21
-,952990,Primary,10,8
+,954739,Primary,10,7
+,956341,Primary,46,12
+,959482,Primary,64,19
+,959489,Secondary,14,3
+,959499,Secondary,7,0
+,959519,Secondary,11,9
-,959483,Primary,30,22
-,961509,Primary,26,7
-,961519,Secondary,26,12
-,964026,Primary,21,0
-,963987,Secondary,17,2
-,963994,Secondary,16,7
-,964043,Secondary,15,3
-,964320,Primary,30,1
-,969998,Primary,7,0
-,972494,Primary,10,14
-,975233,Primary,41,19
-,975225,Secondary,6,0
+,981162,Primary,3813,4685
+,981164,Secondary,1777,1977
+,981207,Secondary,228,39
+,981210,Secondary,336,111
+,981213,Secondary,64,10
+,981216,Secondary,65,18
+,981219,Secondary,34,2
+,981244,Secondary,46,35
+,981250,Secondary,26,11
+,981257,Secondary,12,0
-,982773,Primary,13,2
+,984217,Primary,43,38
-,984238,Primary,13,5
-,984183,Secondary,10,6
-,984186,Secondary,6,0
+,986584,Primary,8,0
-,986487,Primary,8,4
-,986436,Secondary,6,-1
-,992870,Primary,32,62
-,993025,Secondary,7,3
-,995294,Primary,32,9
-,997109,Primary,15,4
+,1001411,Primary,46,12
+,1001424,Secondary,6,9
+,1002514,Primary,61,71
+,1003004,Primary,60,53
+,1003001,Secondary,30,22
+,1003012,Secondary,21,12
+,1003035,Secondary,11,-5
+,1003038,Secondary,36,7
+,1003045,Secondary,8,1
+,1004378,Primary,114,80
+,1004397,Secondary,26,14
-,1004298,Primary,53,49
+,1007471,Primary,19,18
+,1007480,Secondary,11,0
+,1007526,Secondary,8,26
+,1008318,Primary,9,4
-,1009388,Primary,38,19
-,1009380,Secondary,23,35
-,1009395,Secondary,19,8
-,1012906,Primary,8,28
-,1015705,Primary,15,3
-,1015632,Secondary,14,8
-,1015712,Secondary,10,1
+,1022022,Primary,14,9
+,1022035,Secondary,7,8
-,1022041,Primary,68,106
-,1021976,Secondary,8,31
-,1021998,Secondary,13,-2
-,1022049,Secondary,32,24
-,1022060,Secondary,62,45
-,1022731,Primary,115,63
-,1022716,Secondary,8,0
-,1022721,Secondary,16,18
-,1022724,Secondary,26,4
-,1023445,Primary,37,35
-,1023362,Secondary,11,5
+,1028494,Primary,19,22
+,1030479,Primary,137,108
+,1030473,Secondary,26,64
+,1030493,Secondary,11,1
+,1031018,Primary,6,24
+,1031830,Primary,34,80
+,1031917,Secondary,24,42
+,1033970,Primary,11,2
+,1034580,Primary,10,5
+,1034582,Secondary,8,12
+,1035299,Primary,63,46
+,1035335,Secondary,31,5
+,1036784,Primary,26,50
+,1036791,Secondary,7,1
+,1038503,Primary,42,29
+,1040076,Primary,10,11
+,1039938,Secondary,6,7
+,1040099,Secondary,10,3
+,1040729,Primary,10,6
+,1041025,Primary,1906,1259
+,1041019,Secondary,607,360
+,1041035,Secondary,199,6
+,1041040,Secondary,11,1
+,1041635,Primary,8,15
+,1041947,Primary,99,80
-,1041877,Primary,37,28
-,1044615,Primary,373,761
-,1044585,Secondary,6,10
-,1044604,Secondary,27,13
-,1044606,Secondary,32,18
-,1044612,Secondary,17,25
+,1047880,Primary,16,3
+,1047887,Secondary,6,4
-,1047671,Primary,6,0
+,1053038,Primary,8,2
+,1055517,Primary,8,6
+,1057284,Primary,105,210
-,1057130,Primary,145,87
-,1057122,Secondary,20,5
-,1057139,Secondary,76,57
+,1058878,Primary,15,1
+,1058825,Secondary,7,2
-,1058785,Primary,16,13
-,1060419,Primary,6,5
-,1061407,Primary,29,35
-,1062378,Primary,28,42
-,1063061,Primary,34,5
-,1063081,Secondary,15,6
+,1065456,Primary,28,2
-,1065382,Primary,30,22
-,1065292,Secondary,9,4
-,1065417,Secondary,22,19
-,1065853,Primary,6,10
-,1067044,Primary,9,8
+,1071802,Primary,14,2
+,1071635,Secondary,8,0
+,1071805,Secondary,6,1
+,1074209,Primary,13,21
+,1075036,Primary,9,7
+,1074897,Secondary,7,1
+,1074986,Secondary,6,2
-,1074943,Primary,12,4
-,1076611,Primary,6,3
+,1080850,Primary,6,1
-,1082515,Primary,17,17
-,1083421,Primary,34,3
-,1084450,Primary,7,4
-,1085866,Primary,131,168
-,1085838,Secondary,22,8
-,1085842,Secondary,10,0
-,1085849,Secondary,13,17
-,1085852,Secondary,17,5
-,1085863,Secondary,20,30
+,1089279,Primary,34,11
-,1092579,Primary,583,104
-,1092445,Secondary,26,31
-,1092570,Secondary,28,15
-,1092572,Secondary,70,3
-,1093237,Primary,26,2
-,1093180,Secondary,9,0
-,1093235,Secondary,6,0
-,1093243,Secondary,17,2
+,1096003,Primary,17,32
+,1096334,Primary,24,7
+,1097811,Primary,37,6
+,1097818,Secondary,11,-1
+,1097853,Secondary,8,4
+,1097855,Secondary,7,6
-,1097713,Primary,18,8
-,1098943,Primary,8,50
-,1100156,Primary,27,84
-,1100001,Secondary,25,87
-,1100003,Secondary,7,15
-,1103178,Primary,38,13
-,1103169,Secondary,8,0
+,1107138,Primary,140,93
+,1107142,Secondary,9,0
+,1107821,Primary,24,15
+,1107823,Secondary,17,6
-,1107639,Primary,47,16
+,1109188,Primary,8,32
+,1111108,Primary,35,16
-,1110934,Primary,7,1
-,1111650,Primary,37,63
-,1111639,Secondary,6,4
+,1115700,Primary,11,2
+,1116920,Primary,24,8
+,1119114,Primary,15,21
+,1119118,Secondary,6,5
-,1119068,Primary,17,52
-,1119738,Primary,32,29
-,1119727,Secondary,23,15
-,1120781,Primary,40,13
-,1120759,Secondary,6,23
-,1120794,Secondary,24,11
+,1122885,Primary,6,4
+,1123942,Primary,8,7
+,1123895,Secondary,6,9
+,1125263,Primary,25,35
+,1125250,Secondary,12,30
+,1125259,Secondary,7,10
+,1125270,Secondary,6,3
+,1127283,Primary,48,7
+,1127301,Secondary,13,3
-,1127283,Primary,16,3
-,1127286,Secondary,11,14
+,1129503,Primary,59,37
+,1129660,Secondary,12,2
+,1129976,Primary,10,5
+,1130046,Secondary,6,-1
+,1133540,Primary,10,8
-,1133349,Primary,24,16
-,1133352,Secondary,7,0
-,1135588,Primary,53,125
-,1135483,Secondary,6,67
-,1135526,Secondary,30,134
-,1135580,Secondary,22,18
-,1137115,Primary,571,447
-,1137061,Secondary,6,6
-,1137094,Secondary,38,40
-,1137101,Secondary,29,-1
-,1137108,Secondary,109,35
-,1137112,Secondary,275,251
-,1137118,Secondary,320,429
-,1137307,Primary,10,20
+,1139105,Primary,343,195
+,1139111,Secondary,33,-2
+,1139118,Secondary,13,0
-,1140998,Primary,44,55
-,1141405,Primary,48,12
-,1141388,Secondary,7,1
-,1141394,Secondary,26,2
+,1143537,Primary,8,1
+,1144322,Primary,15,2
+,1144327,Secondary,7,22
+,1144642,Primary,74,66
+,1145337,Primary,436,380
+,1146065,Primary,378,69
+,1146069,Secondary,20,1
+,1146073,Secondary,6,1
+,1146076,Secondary,7,10
+,1146455,Primary,389,92
+,1146459,Secondary,57,-1
+,1147989,Primary,80,74
+,1147996,Secondary,13,0
+,1148476,Primary,17,82
+,1151820,Primary,50,86
+,1152655,Primary,8,13
+,1153796,Primary,15,9
-,1155213,Primary,6,5
+,1157632,Primary,302,298
+,1157636,Secondary,12,15
+,1157642,Secondary,27,-4
+,1158880,Primary,13,1
+,1158873,Secondary,7,7
+,1158891,Secondary,6,3
+,1160136,Primary,118,42
+,1160133,Secondary,78,18
+,1160140,Secondary,24,14
+,1160161,Secondary,66,78
+,1160209,Secondary,6,7
+,1161386,Primary,226,184
+,1161391,Secondary,21,4
+,1161393,Secondary,11,7
+,1161395,Secondary,8,25
+,1161446,Secondary,7,11
+,1164157,Primary,12,31
+,1165473,Primary,17,2
+,1165489,Secondary,12,4
+,1167480,Primary,310,55
+,1167489,Secondary,28,-4
+,1167532,Secondary,21,8
+,1167574,Secondary,25,32
+,1170686,Primary,160,58
+,1170692,Secondary,17,0
+,1170695,Secondary,18,9
-,1171255,Primary,1027,693
-,1171232,Secondary,75,36
-,1171242,Secondary,101,3
-,1171244,Secondary,86,94
-,1171690,Primary,39,13
-,1172468,Primary,54,6
-,1172458,Secondary,32,1
-,1172476,Secondary,29,1
-,1172484,Secondary,39,1
+,1174185,Primary,339,189
+,1174195,Secondary,91,43
+,1174200,Secondary,7,0
+,1182612,Primary,30,18
+,1183758,Primary,17,4
+,1183715,Secondary,14,6
+,1183718,Secondary,10,5
+,1183721,Secondary,11,0
+,1183734,Secondary,6,2
+,1184765,Primary,7,15
+,1184693,Secondary,6,6
+,1185492,Primary,28,18
+,1185502,Secondary,6,3
+,1185523,Secondary,8,2
+,1186420,Primary,24,5
+,1187868,Primary,65,47
+,1188008,Secondary,36,5
+,1188022,Secondary,6,5
+,1188042,Secondary,9,4
-,1188060,Primary,14,7
-,1190160,Primary,14,7
+,1194110,Primary,618,258
+,1194115,Secondary,78,33
+,1194120,Secondary,76,13
+,1194126,Secondary,38,3
+,1194143,Secondary,7,5
+,1194695,Primary,433,259
+,1194698,Secondary,121,55
+,1194706,Secondary,65,20
+,1194739,Secondary,22,18
+,1194743,Secondary,31,24
+,1194762,Secondary,16,8
+,1194768,Secondary,17,58
+,1196091,Primary,207,150
+,1196084,Secondary,113,115
+,1196152,Secondary,10,11
+,1196168,Secondary,16,19
+,1197195,Primary,12,34
+,1197997,Primary,112,67
+,1198000,Secondary,32,13
+,1198006,Secondary,92,52
+,1198081,Secondary,9,54
+,1198136,Secondary,9,15
+,1199236,Primary,26,50
+,1200457,Primary,112,136
+,1200755,Primary,866,246
+,1200759,Secondary,66,21
+,1200765,Secondary,112,8
+,1200792,Secondary,129,40
+,1200799,Secondary,35,20
+,1200807,Secondary,19,10
+,1200892,Secondary,15,14
-,1201505,Primary,13,17
-,1203126,Primary,9,44
-,1204293,Primary,14,1
-,1204283,Secondary,9,2
-,1208479,Primary,12,11
-,1208484,Secondary,8,6
-,1210141,Primary,14,4
+,1211865,Primary,254,189
+,1211868,Secondary,90,54
+,1211874,Secondary,41,13
+,1211892,Secondary,20,14
+,1211939,Secondary,24,124
+,1214473,Primary,65,29
+,1214485,Secondary,28,15
+,1214496,Secondary,31,15
+,1214500,Secondary,36,7
+,1214524,Secondary,8,4
+,1214533,Secondary,13,15
+,1215423,Primary,8,2
+,1218359,Primary,21,3
+,1219448,Primary,10,1
+,1219962,Primary,23,29
+,1219952,Secondary,8,0
-,1220860,Primary,8,2
-,1220857,Secondary,6,1
+,1222816,Primary,6,3
+,1223853,Primary,40,30
+,1227288,Primary,32,32
+,1227237,Secondary,19,10
-,1227150,Primary,21,4
-,1227050,Secondary,9,10
+,1230504,Primary,6,1
+,1230857,Primary,14,35
+,1231300,Primary,7,10
+,1231371,Secondary,7,10
+,1232941,Primary,10,9
+,1233789,Primary,484,410
+,1233801,Secondary,49,24
+,1233818,Secondary,23,12
+,1235158,Primary,10,11
+,1235926,Primary,80,49
+,1235943,Secondary,33,50
+,1235967,Secondary,17,6
+,1239758,Primary,65,36
+,1239731,Secondary,59,25
+,1239765,Secondary,29,16
+,1239772,Secondary,11,0
+,1239797,Secondary,6,6
+,1239898,Secondary,7,7
+,1239906,Secondary,10,0
-,1240222,Primary,10,8
-,1240248,Secondary,8,7
-,1242053,Primary,65,29
-,1241978,Secondary,6,2
-,1242004,Secondary,16,6
-,1242018,Secondary,10,9
-,1243622,Primary,413,343
-,1243601,Secondary,9,14
-,1243606,Secondary,9,0
-,1243611,Secondary,73,1
-,1243616,Secondary,73,46
-,1243619,Secondary,36,35
-,1243626,Secondary,209,189
-,1244874,Primary,57,32
-,1244849,Secondary,28,21
-,1248348,Primary,9,4
-,1248357,Secondary,8,1
-,1253841,Primary,38,7
-,1255273,Primary,31,10
-,1255247,Secondary,21,18
-,1257655,Primary,14,23
-,1258114,Primary,161,31
-,1258101,Secondary,18,3
+,1261173,Primary,11,3
+,1261266,Secondary,6,2
-,1261129,Primary,9,10
-,1263588,Primary,102,86
-,1263562,Secondary,85,36
+,1264719,Primary,15,8
-,1264637,Primary,18,9
+,1268118,Primary,9,5
+,1270735,Primary,13,13
+,1270685,Secondary,12,8
+,1270829,Secondary,10,4
+,1271019,Primary,27,5
+,1271004,Secondary,26,7
-,1272333,Primary,310,85
-,1272186,Secondary,7,1
-,1272249,Secondary,14,12
-,1272256,Secondary,48,188
-,1272325,Secondary,30,-2
-,1272349,Secondary,266,143
-,1272836,Primary,19,34
-,1274980,Primary,8,0
-,1276924,Primary,7,6
+,1279853,Primary,7,1
+,1281192,Primary,9,3
+,1281256,Secondary,7,1
-,1282448,Primary,560,1156
-,1282440,Secondary,34,7
-,1282578,Secondary,150,177
-,1283688,Primary,63,165
-,1283676,Secondary,11,36
-,1285996,Primary,5218,3226
-,1285976,Secondary,95,18
-,1285981,Secondary,484,189
-,1285984,Secondary,477,65
-,1285989,Secondary,4543,2061
-,1286618,Primary,40,7
-,1287162,Primary,331,681
-,1287061,Secondary,47,99
-,1287150,Secondary,41,30
-,1287157,Secondary,84,159
-,1288231,Primary,1807,1246
-,1288126,Secondary,23,7
-,1288131,Secondary,32,83
-,1288137,Secondary,228,503
-,1288219,Secondary,165,8
-,1288222,Secondary,152,40
-,1288685,Primary,10,4
-,1288591,Secondary,7,5
-,1288655,Secondary,7,0
-,1292642,Primary,48,58
-,1292626,Secondary,7,4
-,1292632,Secondary,12,1
-,1294651,Primary,224,432
-,1294584,Secondary,7,5
-,1294640,Secondary,24,5
-,1294643,Secondary,12,57
-,1296028,Primary,45,124
-,1296026,Secondary,8,-3
-,1298494,Primary,49,36
-,1298419,Secondary,13,16
-,1301038,Primary,15,13
-,1301031,Secondary,7,0
-,1301087,Secondary,9,3
-,1303441,Primary,24,6
-,1303430,Secondary,17,3
+,1306378,Primary,205,317
+,1306425,Secondary,69,56
+,1306476,Secondary,38,90
+,1307389,Primary,26,18
+,1307439,Secondary,19,37
+,1307920,Primary,96,45
+,1308931,Primary,52,78
+,1309196,Primary,667,214
+,1309200,Secondary,79,-1
+,1309288,Secondary,16,48
+,1309486,Primary,145,284
+,1309435,Secondary,65,144
+,1309446,Secondary,95,351
+,1309451,Secondary,121,468
+,1309454,Secondary,15,4
+,1309756,Primary,194,156
+,1309763,Secondary,8,7
+,1309765,Secondary,11,38
+,1309911,Secondary,30,18
+,1310761,Primary,17,13
+,1310716,Secondary,13,11
+,1310985,Primary,109,190
-,1310927,Primary,53,56
-,1310839,Secondary,39,13
-,1311307,Primary,8,7
-,1311817,Primary,10,0
+,1314345,Primary,22,580
+,1315813,Primary,26,5
+,1315837,Secondary,12,3
+,1315882,Secondary,8,0
+,1315889,Secondary,6,1
+,1318761,Primary,48,22
+,1318766,Secondary,6,3
+,1318776,Secondary,13,16
+,1319076,Primary,21,13
-,1324381,Primary,7,16
-,1324465,Secondary,7,18
-,1325669,Primary,10,6
-,1325608,Secondary,8,61
-,1325655,Secondary,6,1
-,1325657,Secondary,6,15
-,1327423,Primary,2443,2650
-,1327340,Secondary,8,16
-,1327401,Secondary,20,62
-,1327408,Secondary,148,250
-,1327411,Secondary,76,127
-,1327414,Secondary,106,24
-,1327417,Secondary,335,329
-,1327420,Secondary,445,604
-,1327814,Primary,6,2
-,1327817,Secondary,6,0
-,1328933,Primary,23,14
-,1328931,Secondary,13,5
-,1331691,Primary,28,2
-,1331634,Secondary,10,15
-,1331638,Secondary,24,25
-,1331684,Secondary,27,13
-,1335532,Primary,14,9
-,1336794,Primary,57,38
-,1336790,Secondary,7,-4
+,1339300,Primary,24,52
+,1339307,Secondary,14,9
+,1339376,Secondary,6,181
+,1341014,Primary,7,58
+,1342751,Primary,19,74
+,1342754,Secondary,8,42
+,1342800,Secondary,6,25
+,1345468,Primary,7,29
+,1346681,Primary,349,1041
+,1346693,Secondary,15,4
+,1346697,Secondary,25,32
+,1347223,Primary,25,94
+,1347279,Secondary,6,7
+,1347284,Secondary,9,28
+,1347724,Primary,10,15
+,1347832,Secondary,10,12
+,1348255,Primary,14,9
+,1348790,Primary,50,84
+,1348792,Secondary,23,24
+,1351216,Primary,350,579
+,1351094,Secondary,93,39
+,1352446,Primary,764,823
+,1352454,Secondary,57,2
+,1352855,Primary,758,731
-,1354418,Primary,471,594
-,1354326,Secondary,15,6
-,1354351,Secondary,82,74
-,1354409,Secondary,47,3
+,1357301,Primary,77,12
+,1357291,Secondary,60,9
+,1357298,Secondary,17,2
+,1357308,Secondary,7,0
+,1357606,Primary,29,22
+,1358708,Primary,12,0
+,1359100,Primary,51,37
-,1359048,Primary,54,12
+,1361103,Primary,12,4
+,1362291,Primary,189,77
+,1362284,Secondary,59,25
+,1362301,Secondary,16,1
+,1362316,Secondary,7,4
+,1363848,Primary,22,6
+,1364519,Primary,49,64
+,1365171,Primary,44,75
+,1365116,Secondary,13,3
+,1365954,Primary,729,242
+,1365965,Secondary,350,79
+,1365973,Secondary,32,3
+,1365989,Secondary,59,17
+,1365998,Secondary,17,0
+,1368023,Primary,11,8
-,1367960,Primary,8,4
-,1369825,Primary,29,72
-,1369818,Secondary,11,2
-,1372920,Primary,12,5
-,1376029,Primary,85,47
-,1376019,Secondary,8,1
+,1383297,Primary,16,18
+,1383730,Primary,162,57
+,1383872,Secondary,68,50
+,1383874,Secondary,15,7
+,1384119,Primary,13,25
+,1384588,Primary,15,14
+,1385373,Primary,119,82
+,1385380,Secondary,77,75
+,1385382,Secondary,57,55
+,1385451,Secondary,58,12
+,1385820,Primary,110,603
+,1385816,Secondary,106,2233
+,1385826,Secondary,106,284
+,1386127,Primary,565,209
+,1386151,Secondary,328,225
+,1386159,Secondary,407,356
+,1386230,Secondary,162,233
+,1386244,Secondary,43,12
+,1386256,Secondary,35,23
+,1386288,Secondary,44,203
+,1386696,Primary,46,191
+,1386659,Secondary,26,14
+,1386698,Secondary,17,15
+,1387141,Primary,50,91
+,1387427,Primary,62,155
+,1387455,Secondary,47,16
+,1388265,Primary,15,18
+,1388793,Primary,449,900
+,1388863,Secondary,43,38
+,1389080,Primary,167,267
+,1388925,Secondary,14,45
+,1389354,Primary,14,18
+,1390953,Primary,20,7
+,1390804,Secondary,19,59
+,1391447,Primary,20,0
+,1391390,Secondary,16,5
+,1392117,Primary,137,363
+,1392085,Secondary,24,35
+,1392629,Primary,17,5
+,1393120,Primary,1983,3276
+,1393063,Secondary,592,857
+,1393110,Secondary,477,636
+,1393127,Secondary,158,565
+,1393135,Secondary,100,22
+,1393137,Secondary,51,-1
+,1393151,Secondary,29,21
+,1393178,Secondary,33,27
+,1393199,Secondary,28,44
+,1393205,Secondary,9,-1
+,1393209,Secondary,15,14
+,1394611,Primary,350,278
+,1394621,Secondary,45,47
+,1394657,Secondary,13,4
+,1394659,Secondary,26,20
+,1394708,Secondary,9,3
+,1398227,Primary,183,81
+,1398224,Secondary,50,18
+,1398236,Secondary,22,1
+,1398304,Secondary,6,3
+,1398306,Secondary,17,26
+,1398847,Primary,6,1
+,1400897,Primary,25,46
+,1401108,Primary,146,125
+,1401119,Secondary,46,8
-,1401077,Primary,147,105
-,1403932,Primary,161,425
-,1403918,Secondary,7,3
-,1403920,Secondary,10,-4
-,1403960,Secondary,66,207
-,1403969,Secondary,83,678
-,1405100,Primary,713,559
-,1405071,Secondary,32,6
-,1405089,Secondary,24,2
-,1405092,Secondary,57,88
-,1406214,Primary,107,48
-,1406168,Secondary,19,31
-,1406179,Secondary,40,28
-,1406186,Secondary,32,28
-,1406555,Primary,34,28
-,1406504,Secondary,8,-1
+,1409048,Primary,59,37
+,1409045,Secondary,29,16
+,1410360,Primary,48,134
+,1411745,Primary,34,20
+,1411752,Secondary,9,0
+,1413451,Primary,72,44
+,1413455,Secondary,8,0
+,1413465,Secondary,7,3
+,1413477,Secondary,15,88
+,1413974,Primary,206,179
+,1413968,Secondary,91,40
+,1413988,Secondary,13,-1
+,1413991,Secondary,8,10
+,1416664,Primary,56,40
+,1416673,Secondary,16,12
+,1416692,Secondary,7,3
+,1416749,Secondary,8,2
+,1418100,Primary,6,4
+,1419721,Primary,16,14
+,1420184,Primary,11,9
+,1420255,Secondary,8,19
+,1421535,Primary,7,0
+,1421853,Primary,7,-1
+,1421713,Secondary,6,6
+,1424071,Primary,6,18
+,1424199,Secondary,6,7
+,1428764,Primary,214,122
+,1428773,Secondary,18,3
+,1428829,Secondary,18,17
+,1428868,Secondary,12,7
-,1429959,Primary,27,6
-,1429939,Secondary,9,15
-,1429951,Secondary,10,8
-,1429953,Secondary,7,1
+,1430972,Primary,194,91
+,1430945,Secondary,65,32
+,1430957,Secondary,50,25
+,1430980,Secondary,16,4
+,1430984,Secondary,7,14
+,1433053,Primary,7,1
+,1436573,Primary,36,11
+,1436577,Secondary,32,15
+,1436674,Secondary,11,8
-,1436534,Primary,31,13
+,1440709,Primary,16,7
+,1440707,Secondary,11,0
+,1440731,Secondary,6,8
+,1442057,Primary,86,96
+,1442063,Secondary,7,1
+,1443015,Primary,27,20
+,1442904,Secondary,10,17
+,1443301,Primary,32,21
+,1443304,Secondary,21,0
+,1443312,Secondary,25,23
+,1443326,Secondary,29,21
+,1443998,Primary,11,2
+,1445442,Primary,17,5
+,1445548,Secondary,6,-2
-,1445345,Primary,66,63
-,1445334,Secondary,11,-1
+,1449249,Primary,9,2
-,1449283,Primary,26,4
-,1449273,Secondary,6,1
-,1451835,Primary,13,5
+,1455271,Primary,202,85
+,1455280,Secondary,43,15
+,1455287,Secondary,13,0
+,1455296,Secondary,6,6
+,1455939,Primary,29,40
-,1455868,Primary,9,3
+,1459814,Primary,80,27
-,1459746,Primary,26,66
-,1460329,Primary,288,97
-,1460316,Secondary,17,4
-,1460318,Secondary,17,6
-,1460325,Secondary,23,-5
-,1462514,Primary,204,24
-,1462398,Secondary,9,4
-,1462456,Secondary,47,16
-,1462468,Secondary,42,23
-,1462474,Secondary,151,84
-,1462516,Secondary,141,15
-,1463485,Primary,12,2
-,1464250,Primary,16,13
-,1465497,Primary,9,0
+,1467116,Primary,11,25
+,1467128,Secondary,10,22
+,1467356,Primary,688,363
+,1467362,Secondary,68,11
+,1467388,Secondary,111,254
+,1467392,Secondary,12,0
+,1467400,Secondary,19,21
-,1467414,Primary,91,42
-,1468879,Primary,258,87
-,1468868,Secondary,14,0
-,1468872,Secondary,27,9
-,1468876,Secondary,17,10
-,1470511,Primary,12,4
-,1474526,Primary,960,1827
-,1474396,Secondary,10,16
-,1474516,Secondary,68,2
-,1474529,Secondary,362,287
-,1476293,Primary,21,11
-,1476286,Secondary,7,8
-,1476315,Secondary,8,0
-,1476891,Primary,21,39
-,1477763,Primary,11,7
-,1477753,Secondary,7,4
+,1480379,Primary,38,29
+,1480405,Secondary,8,2
-,1481839,Primary,167,216
-,1481763,Secondary,10,10
-,1481830,Secondary,10,7
+,1485319,Primary,29,9
-,1485997,Primary,40,45
-,1486004,Secondary,36,22
-,1486040,Secondary,28,11
-,1488856,Primary,18,15
-,1488793,Secondary,6,4
-,1488828,Secondary,6,0
-,1490236,Primary,8,0
+,1492989,Primary,127,97
+,1492996,Secondary,19,4
+,1493037,Secondary,6,13
+,1495457,Primary,15,7
+,1495978,Primary,391,95
+,1495984,Secondary,7,13
+,1495987,Secondary,8,1
+,1495990,Secondary,22,3
+,1497424,Primary,18,5
-,1497384,Primary,93,78
-,1497373,Secondary,6,1
+,1499904,Primary,15,10
+,1500029,Secondary,12,5
+,1501856,Primary,336,545
+,1501889,Secondary,115,45
+,1502265,Primary,1099,873
+,1502268,Secondary,485,1239
+,1502276,Secondary,169,58
+,1504497,Primary,75,35
+,1504503,Secondary,6,4
+,1504506,Secondary,8,0
-,1504805,Primary,70,74
-,1504794,Secondary,14,3
-,1506932,Primary,71,26
-,1506870,Secondary,29,61
-,1508110,Primary,24,43
-,1508113,Secondary,23,23
+,1511089,Primary,14,8
+,1513045,Primary,25,8
+,1514668,Primary,1501,1157
+,1514675,Secondary,336,182
+,1514680,Secondary,148,181
