Dataset 2. The predicted transcription termination sites of Term-Seq.,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. avermitilis,,,,S. clavuligerus,,,,S. coelicolor,,,,S. griseus,,,,S. lividans,,,,S. tsukubaensis,,,,S. venezuelae,,,
Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score
BA000030,+,4110275,50.6631711702992,CP027858,-,2898298,36.5195521340431,NC_003888,-,4369636,18.5084131678357,NC_010572,-,1264962,28.0231303654058,CP009124,-,2521300,32.7631381808941,CP020700,-,4812015,50.4482124877191,CP059991,-,1830272,31.3449780004389
BA000030,+,4945422,50.457277896385,CP027858,+,5343820,36.4719432726402,NC_003888,-,5714165,36.8977516500766,NC_010572,-,1961971,12.9724178734316,CP009124,-,2361526,32.5981088401607,CP020700,+,4201097,50.399922820106,CP059991,+,6305058,31.0435650042994
BA000030,-,6671298,50.2215453513744,CP027858,+,1875593,36.2508054557184,NC_003888,-,4544952,17.8735802772171,NC_010572,-,4688764,16.1545400729349,CP009124,+,4415467,32.5829235533202,CP020700,+,6184237,50.2870708838766,CP059991,+,2751641,30.9589180014148
BA000030,+,5481680,50.0266958400723,CP027858,+,4132538,36.2504451272682,NC_003888,-,3653034,14.4813765943035,NC_010572,-,2016469,20.1926408079522,CP009124,-,4846770,32.529941984719,CP020700,-,1711539,50.1565061617233,CP059991,+,2184212,30.9042714613532
BA000030,-,614267,49.7312748319761,CP027858,+,227313,36.2274856839548,NC_003888,-,4811716,225.388179632015,NC_010572,-,6190373,44.8364805948525,CP009124,-,3781250,32.4266904619106,CP020700,-,2594779,50.1382619389231,CP059991,-,6585572,30.8918154697814
BA000030,+,1415355,49.4994174011222,CP027858,+,1613497,36.0171391034678,NC_003888,-,977087,16.4438306595401,NC_010572,-,3959965,15.8261581075288,CP009124,+,404215,32.391781124795,CP020700,-,5648980,50.1007189016957,CP059991,+,5511963,30.8873096913539
BA000030,-,4168094,49.4642324533757,CP027859,+,1284068,35.9816766149072,NC_003888,-,6411872,18.5361571522346,NC_010572,-,2243330,19.1293679981669,CP009124,+,5486103,32.3806569543155,CP020700,-,3959022,49.995705674626,CP059991,-,3143243,30.8795668665719
BA000030,+,6203220,49.4016406435101,CP027858,-,3590247,35.8845303149325,NC_003888,-,1732223,22.8235374613807,NC_010572,-,4416287,12.2508916784924,CP009124,+,4982010,32.3306055440242,CP020700,+,5598532,49.9521221173979,CP059991,+,5487030,30.8730750873883
BA000030,-,7952047,49.3839648923758,CP027858,+,2036133,35.7676203989415,NC_003888,-,3997214,27.18048420761,NC_010572,-,2756181,51.3125678598968,CP009124,-,3405615,32.3295805331369,CP020700,+,4409395,49.724858446641,CP059991,+,6676345,30.7834262998389
BA000030,-,3939292,49.2111114986912,CP027858,+,4086440,35.3420895275135,NC_003888,-,6807456,17.0284968628726,NC_010572,-,5119412,22.0950102218415,CP009124,-,3342190,32.2934948349254,CP020700,+,4049785,49.6507523970371,CP059991,-,8070617,30.4296963385065
BA000030,-,2217212,48.9284472237426,CP027858,+,4258968,35.1221187350728,NC_003888,-,3283556,12.0056159101467,NC_010572,-,7487615,17.3986513734578,CP009124,-,3418664,32.2868439189635,CP020700,+,795085,49.5656705538288,CP059991,+,4461324,30.1873114423898
BA000030,-,70668,48.6719535814726,CP027858,+,3183842,35.035147505646,NC_003888,-,2974899,45.9979598713118,NC_010572,-,5723210,31.6439554650558,CP009124,+,8260230,32.2642634214329,CP020700,-,1575778,49.3431540814796,CP059991,-,2999535,30.0694783077625
BA000030,+,6284272,48.4422203126091,CP027858,-,1116538,34.4415881270572,NC_003888,-,2646859,16.1916243278255,NC_010572,-,5945782,178.607357767043,CP009124,-,3233449,32.2127738842845,CP020700,+,4825206,49.3392450410461,CP059991,-,1519573,30.0429140823162
BA000030,+,4590541,48.4343335814519,CP027858,-,583950,34.4152782472675,NC_003888,-,3923974,17.3399070087341,NC_010572,-,1462164,20.7529464937598,CP009124,-,2420781,32.1471825829163,CP020700,-,4906402,49.1304204809363,CP059991,-,4216049,29.7119856451937
BA000030,-,3475535,48.1523652177882,CP027858,-,2655446,34.3419244637032,NC_003888,-,5483688,22.4154992184179,NC_010572,-,2547919,15.3384636954714,CP009124,+,6104472,32.1372908939019,CP020700,-,2230095,49.1061550980875,CP059991,-,3566713,29.6797822644392
BA000030,+,7563808,48.0882872968718,CP027858,-,1349071,34.2536555674457,NC_003888,-,7347357,12.0662246486696,NC_010572,-,4770371,12.9447511582887,CP009124,+,5232243,32.1257665450847,CP020700,-,2414365,48.9516274511842,CP059991,-,4405186,29.6595832581018
BA000030,+,6484066,47.9622543875036,CP027858,-,2367104,34.2101494432632,NC_003888,-,5116752,74.8042148546527,NC_010572,-,5571815,1227.48604137345,CP009124,+,1357716,32.1134438193381,CP020700,+,4232896,48.8568978796224,CP059991,-,8482724,29.4991264805265
BA000030,+,5444980,47.9335147873466,CP027858,+,1318368,34.061397810393,NC_003888,-,2141629,13.8657684562829,NC_010572,-,3405983,17.9252337012076,CP009124,+,6264735,32.081779352417,CP020700,+,3050834,48.8489220817518,CP059991,+,3845512,29.4897530112923
BA000030,+,6277927,47.8290804317512,CP027858,+,5566326,33.9175936035835,NC_003888,-,3653525,12.3722377301983,NC_010572,-,3104027,18.2544449230871,CP009124,-,4181246,32.0611818450035,CP020700,+,3715215,48.6630443019083,CP059991,-,4253716,29.4491849480574
BA000030,+,8096164,47.5864847212517,CP027859,-,403125,33.8069491670867,NC_003888,-,4361591,15.2953714491844,NC_010572,-,3900801,102.09499778159,CP009124,-,4266988,32.0113819789728,CP020700,-,3012508,48.6466312807339,CP059991,-,6774610,29.1036985816562
BA000030,-,3479397,47.2686246473051,CP027858,+,5191534,33.6740383102586,NC_003888,-,4827830,19.6085497561489,NC_010572,-,4545426,12.2813652924819,CP009124,+,4998972,32.0005969500591,CP020700,-,2638252,48.5795485613311,CP059991,+,2636200,28.96658070453
BA000030,+,6614439,46.9786780473753,CP027858,+,3564151,33.4564538328143,NC_003888,-,2984453,12.4505473763161,NC_010572,-,5452153,13.1353718110854,CP009124,+,4405453,31.7883528779191,CP020700,+,4889554,48.5706747313984,CP059991,+,5643428,28.9554722523352
BA000030,+,4752503,46.6423554048177,CP027858,-,3352579,33.4340217902883,NC_003888,-,4267486,138.007021566623,NC_010572,-,2392425,14.2439929356378,CP009124,-,8156393,31.7441685480277,CP020700,+,3551076,48.265120055777,CP059991,-,4413204,28.88078773807
BA000030,-,6562877,46.527578602757,CP027859,-,893253,33.4110966112361,NC_003888,-,4050062,22.3800495445207,NC_010572,-,6654955,12.1037219923409,CP009124,-,7255752,31.652829446378,CP020700,-,2247031,48.0928325438554,CP059991,-,4045075,28.7963147544274
BA000030,-,6724452,46.0930370413768,CP027859,+,563188,33.3588350537899,NC_003888,-,4886242,12.4106727720839,NC_010572,-,3922627,17.7310216057456,CP009124,-,2450604,31.5725650182083,CP020700,+,736479,47.8933926423614,CP059991,-,4501833,28.6882731233487
BA000030,+,5569577,46.0656242848168,CP027858,+,2536452,33.3136542976303,NC_003888,-,2272000,81.4466365264753,NC_010572,-,1607786,12.2757669557139,CP009124,-,3988943,31.54940703766,CP020700,-,1570055,47.859848808369,CP059991,-,4941636,28.5660173363481
BA000030,+,98767,45.9048998472164,CP027859,-,1725538,33.3029273510635,NC_003888,-,5391332,15.6683076797323,NC_010572,-,327479,68.428855394483,CP009124,-,2533713,31.5183395777996,CP020700,-,1127490,47.5584448118282,CP059991,-,1698503,28.347251110457
BA000030,-,6383134,45.828079926951,CP027858,+,1321294,33.054363900766,NC_003888,-,4371853,17.9005176274025,NC_010572,-,2913965,13.554178425932,CP009124,-,3767552,31.3857821975222,CP020700,-,582231,47.4084452648819,CP059991,-,4509443,28.3050567275462
BA000030,-,7542676,45.6048227407231,CP027858,+,6551998,33.00828838171,NC_003888,-,2234344,43.2827153607175,NC_010572,-,1608851,201.574913255369,CP009124,+,6025582,31.178944600246,CP020700,+,6273437,47.3524735514453,CP059991,-,4140013,28.2812426246109
BA000030,-,1375927,45.4823386548497,CP027858,-,1407041,32.8936996679861,NC_003888,-,3769848,12.0270347808908,NC_010572,-,5226736,14.5006466659639,CP009124,-,4281158,31.0702740670521,CP020700,+,5658985,47.2121313168413,CP059991,+,6078871,28.2504880316236
BA000030,+,5481023,45.3939860245074,CP027858,-,5621329,32.667202959789,NC_003888,-,6411610,18.7772747963348,NC_010572,-,3942155,12.0656517409865,CP009124,-,2919100,30.981482494513,CP020700,+,6080707,47.0164716753727,CP059991,+,2234032,28.0280903478265
BA000030,-,5313499,45.3181566756671,CP027858,-,6364724,32.5254343925944,NC_003888,-,5204234,54.7908719868552,NC_010572,-,3485110,15.6765527255593,CP009124,+,3238992,30.9149296354572,CP020700,+,4250448,46.8568501213163,CP059991,-,8524721,27.9917007537164
BA000030,-,2410119,45.2929851077342,CP027858,+,6154831,32.468680231789,NC_003888,-,1612112,27.1347089000048,NC_010572,-,3366823,20.2265863236494,CP009124,+,3869454,30.852848252394,CP020700,-,2846005,46.8219402082828,CP059991,+,5572993,27.8356981779856
BA000030,+,3724230,45.2158575233284,CP027858,-,739273,32.1070173618897,NC_003888,-,1704194,60.1783972620552,NC_010572,-,3378818,12.0023149855862,CP009124,+,6240250,30.8202962944773,CP020700,+,6076945,46.6895400925478,CP059991,-,4906541,27.7026964490981
BA000030,-,3901579,45.0822052151841,CP027858,+,6238421,31.9852259031968,NC_003888,-,2764510,219.608213889496,NC_010572,-,5798561,235.078069503895,CP009124,+,7422223,30.6184630430393,CP020700,-,6520969,46.3753000274144,CP059991,+,3057026,27.4890278012554
BA000030,+,4708408,44.9548442943595,CP027858,+,4078127,31.7983908695775,NC_003888,-,3984935,19.6016776869612,NC_010572,-,2976905,49.5619124635016,CP009124,+,637220,30.5957534638003,CP020700,+,2779293,46.2508069010964,CP059991,-,2626204,27.4581070628526
BA000030,+,7980798,44.641689624822,CP027858,+,2102506,31.790951010908,NC_003888,-,6313593,19.0513895199344,NC_010572,-,3376074,19.2598792229107,CP009124,-,5207566,30.5905255862387,CP020700,+,6172252,46.081305317803,CP059991,+,6079991,27.1531897090067
BA000030,-,5878733,44.4998454973648,CP027859,+,236378,31.6597280986629,NC_003888,-,6311898,97.1111662095898,NC_010572,-,3960892,26.690684171881,CP009124,+,6455493,30.5599306304951,CP020700,+,5361486,45.6841702949461,CP059991,+,4490694,27.1316813332063
BA000030,+,6538763,44.1131014201348,CP027858,+,5751253,31.5961388518339,NC_003888,-,3773187,39.3943051482107,NC_010572,-,3882126,25.8888531900696,CP009124,-,7013697,30.5075095298909,CP020700,-,2694915,45.2403465489381,CP059991,+,4708579,27.0322670382673
BA000030,+,5724568,44.0799930195782,CP027858,+,3279131,31.5234207716205,NC_003888,-,1460872,18.448613792686,NC_010572,-,1965528,25.0815712846249,CP009124,+,3540457,30.4364468678601,CP020700,-,1714663,45.2111275377862,CP059991,-,2330841,26.9993854190527
BA000030,+,6197371,44.0309706262372,CP027858,+,2944973,31.4247222843395,NC_003888,-,4979218,17.3911229457788,NC_010572,-,2236389,272.591511648282,CP009124,-,7047722,30.4000174774019,CP020700,+,5344200,45.054819213787,CP059991,-,4596644,26.9105534705264
BA000030,-,3089363,43.8574395380083,CP027858,+,4353200,31.4029024445176,NC_003888,-,3099418,20.6612471232707,NC_010572,-,3567410,16.8707262916889,CP009124,-,7045458,30.2814984857564,CP020700,+,1356759,44.9370232921047,CP059991,+,6588923,26.8977254014223
BA000030,+,7563302,43.6615229025598,CP027859,+,496186,31.3961179044445,NC_003888,-,2542394,24.0250036020905,NC_010572,-,4400481,16.1457980342928,CP009124,+,6585058,30.1477601773698,CP020700,+,1607465,44.7059784421157,CP059991,-,3571685,26.8101852096629
BA000030,-,2093846,43.6208335864916,CP027858,+,2940328,31.3866702466196,NC_003888,-,3956826,13.8934017444927,NC_010572,-,1965229,12.4799636297804,CP009124,-,1781700,30.0211983361355,CP020700,-,5512527,44.6634172264873,CP059991,-,1980144,26.6955735302303
BA000030,+,7335201,43.1576400370439,CP027858,+,5810460,31.3572259511244,NC_003888,-,7777072,21.2152259007262,NC_010572,-,2552151,28.3206648254174,CP009124,-,3584244,30.0042790557776,CP020700,+,1574490,44.5156784853138,CP059991,+,1945069,26.6695221162197
BA000030,-,4310387,43.0343783718792,CP027859,+,971075,31.34131452252,NC_003888,-,3953660,23.1981634106914,NC_010572,-,3217588,36.7307468402991,CP009124,+,5877366,29.8514037078025,CP020700,+,3852886,44.2553879242643,CP059991,+,4560772,26.3866267433539
BA000030,-,3825007,43.0239210672314,CP027858,-,3032712,31.1625966106039,NC_003888,-,1535655,42.0048356225708,NC_010572,-,542993,58.3444091023575,CP009124,-,5752666,29.6394626760317,CP020700,+,4563216,44.1499680099938,CP059991,+,5716239,26.3842604354423
BA000030,-,3220389,42.85373725947,CP027859,-,939435,31.1189360232448,NC_003888,-,3917689,14.8080518225087,NC_010572,-,6274676,20.9965238730359,CP009124,+,4669854,29.494335668001,CP020700,+,5766179,43.944265731125,CP059991,+,6278464,26.328602062187
BA000030,+,3305792,42.6762907135669,CP027858,+,3618634,31.1037847481805,NC_003888,-,1968607,12.1013001224308,NC_010572,-,4247579,12.5594680770906,CP009124,+,4415246,29.4242503618677,CP020700,-,2795781,43.9355934788824,CP059991,+,3622109,26.2725377474068
BA000030,+,1815118,42.6003896660551,CP027858,+,2609133,31.0142530261971,NC_003888,-,5523369,13.1879172447599,NC_010572,-,2208431,16.0746205143192,CP009124,-,3317882,29.3882418582013,CP020700,+,5547106,43.6806154850864,CP059991,-,6083231,26.2516701195116
BA000030,+,6708130,42.5910050784019,CP027858,-,3325087,30.9537515569184,NC_003888,-,4291665,150.425890521116,NC_010572,-,2588425,15.3214763274988,CP009124,+,4541010,29.2464267822449,CP020700,+,4889657,43.6726356763879,CP059991,-,7541551,26.2247085742881
BA000030,+,5454887,42.1789811478869,CP027858,-,2805940,30.902706921088,NC_003888,-,3996871,72.5390459921546,NC_010572,-,2856102,58.4241457570803,CP009124,+,4267010,28.8230564415958,CP020700,-,3495248,43.6087323267123,CP059991,+,3995443,26.2233187713157
BA000030,+,7939519,41.8243482549376,CP027858,-,2168632,30.875553460769,NC_003888,-,1916160,22.5080352909916,NC_010572,-,7676193,18.8509138346342,CP009124,-,2338793,28.7970491505628,CP020700,+,3656269,43.5747098198746,CP059991,+,3330235,26.2010694864396
BA000030,-,3525384,41.6290264282463,CP027859,+,1014235,30.8419649280255,NC_003888,-,5860430,358.613087062024,NC_010572,-,188266,12.8383215084349,CP009124,+,4075574,28.6784319823398,CP020700,+,7003526,43.2609719197561,CP059991,-,6917529,26.0557685329293
BA000030,+,6673341,41.5174506831945,CP027858,-,2514901,30.6647527796919,NC_003888,-,5705852,12.2819602463134,NC_010572,-,1473103,39.7591787037599,CP009124,+,5884792,28.6574791794265,CP020700,+,5815554,43.182664500247,CP059991,+,6201956,26.0369281828525
BA000030,-,2383162,41.4100185988784,CP027858,+,5774790,30.6193231317664,NC_003888,-,4487947,14.2378102052337,NC_010572,-,859383,19.0313211257111,CP009124,+,4135551,28.6462237845271,CP020700,-,2993563,43.1180602046055,CP059991,-,3692351,25.9247992222192
BA000030,+,6983235,41.2829148933993,CP027859,+,991413,30.5945676321607,NC_003888,-,3787608,15.173634859791,NC_010572,-,6076802,18.2182174481475,CP009124,+,1514087,28.6424126692828,CP020700,-,2828129,42.9487251443835,CP059991,-,2718882,25.8801860669537
BA000030,+,4889213,41.2475814752116,CP027859,-,925336,30.4237469526748,NC_003888,-,3486362,46.5162932356535,NC_010572,-,937205,12.8413856001202,CP009124,-,2785120,28.6213537308411,CP020700,+,4947420,42.9029361189988,CP059991,-,8101144,25.8679007507404
BA000030,-,7348440,41.1715306695854,CP027858,-,4202734,30.4236780787079,NC_003888,-,1580521,14.4720046991345,NC_010572,-,4690857,28.1419084228016,CP009124,+,4549817,28.5991301584941,CP020700,-,5051085,42.8381592825332,CP059991,+,7019351,25.8658477981017
BA000030,-,4173124,41.0491154865769,CP027858,-,2844175,30.3588884498746,NC_003888,-,1966618,33.6981486989282,NC_010572,-,3425954,21.7851606447746,CP009124,+,1893819,28.5581113022758,CP020700,+,2133703,42.7253516918032,CP059991,+,5583765,25.7601176816141
BA000030,+,7275343,40.4181708096216,CP027858,+,2102837,30.2692264305249,NC_003888,-,3166405,16.2033919026317,NC_010572,-,7364883,12.1290723886144,CP009124,+,5675895,28.4979565655901,CP020700,-,3847498,42.560644871532,CP059991,+,6212742,25.753824890332
BA000030,-,4366506,40.3497427129057,CP027859,+,1179571,30.2127121854621,NC_003888,-,2131342,27.8219151642868,NC_010572,-,3346818,16.0006226496011,CP009124,+,7566174,28.3811125077267,CP020700,+,4872660,42.3166711570029,CP059991,+,5021018,25.7269982213689
BA000030,-,4826455,40.3465434009112,CP027858,+,4011019,30.1767682715337,NC_003888,-,3787692,13.1868818333416,NC_010572,-,2435833,17.5334039873154,CP009124,+,7770264,28.3264659536109,CP020700,+,3442623,42.2807203754559,CP059991,-,8472481,25.6981461758676
BA000030,+,8340436,40.3269561447845,CP027858,+,5455260,30.1589142676365,NC_003888,-,2324291,52.2880246302103,NC_010572,-,1433048,61.03530766233,CP009124,-,4180330,28.2055517187228,CP020700,-,1015937,42.2510845377381,CP059991,+,4370825,25.6693069277595
BA000030,-,3136831,40.2856901049295,CP027858,+,3364328,30.1009320220347,NC_003888,-,1933946,33.2625198847241,NC_010572,-,4979989,28.091943343254,CP009124,-,3285001,28.1439501723895,CP020700,-,4363293,42.1282487207867,CP059991,+,3466675,25.5225026877121
BA000030,+,4263359,40.1517532664504,CP027858,-,3749854,30.1001236503817,NC_003888,-,820540,41.00098994404,NC_010572,-,3750206,12.0666919664133,CP009124,-,2773487,27.986068911059,CP020700,+,6140005,42.051277667731,CP059991,+,4851360,25.5181205055356
BA000030,-,3914926,40.1179926517433,CP027858,-,2969004,30.0089748686518,NC_003888,-,3236268,14.078140663338,NC_010572,-,6563984,30.2624062266969,CP009124,+,3429067,27.9578578712245,CP020700,+,560040,41.7230913553236,CP059991,-,8527659,25.4585031871005
BA000030,-,1376147,39.6293549971832,CP027858,-,661318,30.0056903735478,NC_003888,-,2298142,12.175719228219,NC_010572,-,2153794,43.1900293643504,CP009124,-,2475161,27.8193957867558,CP020700,-,1409579,41.6959894641974,CP059991,-,1975996,25.4290224032277
BA000030,-,4344002,39.6162965367815,CP027858,-,4821218,29.9117548878322,NC_003888,-,1460507,18.9974478435272,NC_010572,-,5534109,13.2835758110749,CP009124,+,5579936,27.7937519557221,CP020700,-,1692044,41.4231908126242,CP059991,+,6219207,25.1903612913402
BA000030,+,5372445,39.1360553251706,CP027858,-,5049403,29.9058829873485,NC_003888,-,3163695,15.323361346786,NC_010572,-,6260173,34.3041989016172,CP009124,-,657002,27.7071881404752,CP020700,+,2375569,41.1458434093204,CP059991,+,6386402,25.1191581847671
BA000030,+,1374959,39.0187567630306,CP027858,-,2520560,29.5449484793586,NC_003888,-,2786627,12.5864605679115,NC_010572,-,3375385,15.1250750136516,CP009124,-,6123841,27.5395986992013,CP020700,-,2857569,41.1174554441962,CP059991,-,7285114,25.0137931309809
BA000030,+,5719064,38.7831441990237,CP027858,+,1527555,29.5364902168411,NC_003888,-,4037910,14.8403116085151,NC_010572,-,1141685,15.4851530282685,CP009124,-,6187255,27.493225736857,CP020700,-,4828887,40.7978805831771,CP059991,-,6860779,24.9247112229955
BA000030,+,7560792,38.7803836988262,CP027858,-,5398465,29.4985723132986,NC_003888,-,775945,17.0555589106623,NC_010572,-,4688434,49.9534071014186,CP009124,-,6092554,27.4419894179587,CP020700,-,4208682,40.7653632841301,CP059991,-,3141612,24.8579292475808
BA000030,+,8120495,38.6452410223169,CP027858,+,5695479,29.4664644394521,NC_003888,-,3993164,18.88739535027,NC_010572,-,4021825,15.4086697319637,CP009124,-,6340807,27.4205061377707,CP020700,-,4356209,40.685530924905,CP059991,+,6076098,24.7509992992941
BA000030,+,1426141,38.6156864580206,CP027858,+,4878130,29.4176820895902,NC_003888,-,6083688,21.6176519085849,NC_010572,-,5225784,30.5840453919581,CP009124,+,3146201,27.3135486499922,CP020700,-,3942935,40.5746637425043,CP059991,+,3013918,24.7469801798629
BA000030,+,4998712,38.4341467231829,CP027858,+,5767577,29.2448280829242,NC_003888,-,2538281,16.4891364056617,NC_010572,-,1965946,19.8039603926888,CP009124,+,5521575,27.2809380420998,CP020700,-,6455821,40.5363087579143,CP059991,-,4488318,24.7176920886508
BA000030,-,6460294,38.2306196065066,CP027859,+,1305607,29.2441309049242,NC_003888,-,1759798,17.4218793580771,NC_010572,-,2180331,14.6547560546591,CP009124,+,4281875,27.2744962498168,CP020700,-,2711148,39.9738189537715,CP059991,-,5543270,24.7029062182189
BA000030,+,5454810,38.1174125557823,CP027858,-,1600343,29.1640115255674,NC_003888,-,5866293,56.7118854703786,NC_010572,-,3894562,14.7401291198153,CP009124,-,4281640,27.1698646485173,CP020700,-,1807265,39.9116114783195,CP059991,+,3808261,24.6414723959315
BA000030,-,4362611,38.0853385691357,CP027858,-,835375,29.1149920663001,NC_003888,-,2784067,27.826932142001,NC_010572,-,5918538,14.2237620276514,CP009124,-,5808929,27.094541118537,CP020700,-,4179285,39.7971754098817,CP059991,-,4431928,24.5271271897129
BA000030,+,5198410,37.8482195337309,CP027858,-,1340338,29.1046249944233,NC_003888,-,2235647,23.5644576581189,NC_010572,-,6296832,15.1085401418412,CP009124,+,4199305,26.9790455662418,CP020700,+,2416313,39.775249657351,CP059991,-,4501956,24.4948297872159
BA000030,+,6084951,37.8366082265802,CP027858,+,3364021,29.043340502141,NC_003888,-,7533678,19.2199989504303,NC_010572,-,2914086,18.2370090178258,CP009124,-,6295826,26.9721923922602,CP020700,+,1575040,39.7228821483623,CP059991,+,5777638,24.417890852609
BA000030,+,7297191,37.7898569346524,CP027858,+,4339232,28.9965719392749,NC_003888,-,6930584,16.0503196584343,NC_010572,-,2149810,59.9001777790139,CP009124,+,287808,26.9705548483606,CP020700,+,1995680,39.6577028711571,CP059991,-,1375077,24.3849684890432
BA000030,-,3414790,37.6864206469548,CP027858,-,3070435,28.9609052837205,NC_003888,-,3770688,36.7699725969815,NC_010572,-,2179609,15.7537184971548,CP009124,+,7590059,26.950159065707,CP020700,-,3331634,39.465736872467,CP059991,+,1499680,24.3406210775657
BA000030,-,4259436,37.476789758746,CP027858,-,4047298,28.7143114869315,NC_003888,-,5858801,13.5184802658566,NC_010572,-,6132137,12.9682793187566,CP009124,-,6111928,26.8988387924884,CP020700,+,6139728,39.4433795042915,CP059991,+,5354505,24.312946226667
BA000030,+,7610275,37.2667850594921,CP027859,+,1608658,28.6523807578421,NC_003888,-,5019656,24.9713724615301,NC_010572,-,2913414,15.1588378915849,CP009124,+,6895866,26.8314372825481,CP020700,+,4153095,39.0225881494978,CP059991,-,4250444,24.2957151395594
BA000030,-,3222575,37.2575419827381,CP027858,+,1319658,28.6008599071897,NC_003888,-,28545,12.7536496607552,NC_010572,-,4708878,39.5108070364608,CP009124,-,2815349,26.8285670608983,CP020700,-,4084150,38.8363302467841,CP059991,-,3264165,24.1917510610356
BA000030,-,2013933,37.2170708377629,CP027858,+,5341046,28.5266359318865,NC_003888,-,2845933,58.2840016278566,NC_010572,-,2848012,14.2375414149089,CP009124,-,3173873,26.8149692429737,CP020700,-,6425909,38.7376662909527,CP059991,+,6702834,23.9721292104149
BA000030,+,8239961,37.1768866922084,CP027859,-,739416,28.4270780402614,NC_003888,-,1640856,12.9375663010657,NC_010572,-,2469134,12.6804459813802,CP009124,-,6340438,26.779616385223,CP020700,+,2308882,38.6734642731528,CP059991,-,838439,23.9571157515472
BA000030,-,4746974,37.0372666338227,CP027858,+,2959669,28.2831257165579,NC_003888,-,2289269,22.2300319177039,NC_010572,-,4290962,13.0311441203106,CP009124,+,928558,26.69386279252,CP020700,+,1685641,38.5895634655894,CP059991,-,954584,23.9394202459766
BA000030,+,6610227,36.8428333734683,CP027858,+,4938924,28.2616135899432,NC_003888,-,4172640,13.3059069268594,NC_010572,-,2342368,20.3463783911448,CP009124,-,3869406,26.5601472153066,CP020700,-,5891127,38.4836935900693,CP059991,-,4070334,23.9119721338538
BA000030,+,7992024,36.8407764372067,CP027858,-,1503397,28.259643515468,NC_003888,-,6034268,23.8836698963114,NC_010572,-,8077274,12.7024278780639,CP009124,-,2002461,26.4443109227611,CP020700,+,5925024,38.4415595924817,CP059991,-,2649847,23.8895866696635
BA000030,-,6377368,36.8284910628618,CP027858,-,2459601,28.0650091548893,NC_003888,-,1651674,38.0790570361992,NC_010572,-,4344416,46.5194754587837,CP009124,+,1513873,26.1554212608816,CP020700,-,1714471,38.3992217666743,CP059991,-,3787942,23.7539452297622
BA000030,-,6956656,36.6904118395386,CP027858,+,3636064,27.9928379184856,NC_003888,-,1535740,13.7039806194519,NC_010572,-,6295703,15.3752828376096,CP009124,-,3307827,26.054791605938,CP020700,-,2457433,38.3546898422547,CP059991,-,3670696,23.7019726243644
BA000030,+,6309650,36.6724871046412,CP027858,-,1499551,27.8885710349292,NC_003888,-,8551732,28.4855632231371,NC_010572,-,5113083,12.0209649537036,CP009124,+,4051413,26.0213990500148,CP020700,+,1145497,38.2492259518692,CP059991,+,6468993,23.6459213796598
BA000030,-,2462116,36.5869870565144,CP027858,+,3897122,27.8438182016711,NC_003888,-,1465203,14.4379515140925,NC_010572,-,3380148,409.16357267904,CP009124,+,1881967,26.0211583532049,CP020700,+,4841284,38.0351886709348,CP059991,+,3330709,23.6349755187764
BA000030,-,5335031,36.5406870970181,CP027858,+,501425,27.7754488410617,NC_003888,-,3079068,36.6163694185839,NC_010572,-,2245476,49.4283555694957,CP009124,-,5853929,25.9957137117898,CP020700,-,1334324,37.9732180285159,CP059991,+,4895237,23.5347639484805
BA000030,+,7707171,36.5137210235885,CP027858,-,3032582,27.7489617639742,NC_003888,-,2455744,38.0350952489434,NC_010572,-,4245996,12.7403483664547,CP009124,+,3015562,25.9787215641819,CP020700,+,3640248,37.9465857193276,CP059991,-,7887201,23.4873487346313
BA000030,+,7173294,36.3493009735357,CP027858,-,3018532,27.7046110634428,NC_003888,-,2262824,19.085326171926,NC_010572,-,7804876,17.2447554704399,CP009124,-,2420717,25.8279798453527,CP020700,+,2519465,37.90315171,CP059991,+,5270090,23.3706921581993
BA000030,-,8122465,36.3274196344846,CP027858,-,3421447,27.6690756025422,NC_003888,-,4826956,13.8693121724303,NC_010572,-,3919262,12.5757496596948,CP009124,+,5789876,25.7730665725532,CP020700,+,7336619,37.8429398297379,CP059991,+,1691103,23.3545750696151
BA000030,+,8356305,36.284753093909,CP027859,-,398222,27.5826935554297,NC_003888,-,2236639,16.4426192243991,NC_010572,-,6133113,12.2879430281029,CP009124,-,2869036,25.7556986556858,CP020700,+,4065993,37.5812545511722,CP059991,-,4754469,23.3092812266611
BA000030,+,6532681,36.2061919170653,CP027858,+,2710602,27.5155199427782,NC_003888,-,7477635,52.4378415317476,NC_010572,-,4270273,21.2001477442265,CP009124,+,5487746,25.7431587964128,CP020700,+,2309023,37.4363759707866,CP059991,+,6028721,23.3083556690526
BA000030,-,4826536,36.1967407611955,CP027858,+,2102644,27.4973439356508,NC_003888,-,5481752,13.0683307390494,NC_010572,-,2228956,16.2132106795445,CP009124,-,2337464,25.6917746161504,CP020700,+,3051485,37.3995706700867,CP059991,-,5833524,23.2925381928609
