TTS position	Strand	Signal intensity	Associated gene	TTS category
4962558	+	0.401408717	SAVERM_4043	P
7377059	+	0.60717241	SAVERM_6132	P
7234207	+	2.537343194	SAVERM_6006	P
5683525	+	1.218962185	SAVERM_4659	P
7987872	+	2.510179806	SAVERM_6675	P
7381229	+	0.854835527	SAVERM_6136	P
3121213	+	1.100189962	SAVERM_2544	P
7832979	+	0.478281517	SAVERM_6542	P
6990112	+	0.996153774	SAVERM_5784	P
4291152	+	0.401408717	SAVERM_3461	P
2768896	+	2.678661441	SAVERM_2270	P
7678781	+	0.582317705	SAVERM_6403	P
5081867	+	207.1715945	SAVERM_t26	P
4917950	+	0.517872258	SAVERM_3995	P
3835970	+	328.9449643	SAVERM_3073	P
3836335	+	0.67392654	SAVERM_3073	S
3304637	+	1.486862644	SAVERM_2695	P
5621962	+	0.854835527	SAVERM_4603	P
2919832	+	3.35258798	SAVERM_2392	P
2919877	+	2.839333087	SAVERM_2392	S
4030522	+	260.2257762	SAVERM_3233	P
8034133	+	5.114277129	SAVERM_6716	P
7275343	+	256.0703708	SAVERM_6042	P
8921640	+	0.582317705	SAVERM_7488	P
3747765	+	2.924015876	SAVERM_2991	P
6533105	+	1.189490115	SAVERM_5386	S
6533028	+	3.937214367	SAVERM_5386	P
6000728	+	22.00610792	SAVERM_4950	P
7143900	+	0.698781245	SAVERM_5932	P
1218533	+	3.644459203	SAVERM_957	P
7735083	+	0.530299611	SAVERM_6455	P
5126002	+	0.711208598	SAVERM_4176	P
5454810	+	23.75536972	SAVERM_4465	P
4562104	+	3.176296357	SAVERM_3685	P
5967436	+	1220.998086	SAVERM_4911	P
6769037	+	5.592558645	SAVERM_5595	P
4993054	+	32.37421254	SAVERM_4072	P
6268416	+	1.048171868	SAVERM_5160	P
5915734	+	0.763226692	SAVERM_4864	P
6604078	+	1.657652961	SAVERM_5445	P
6604335	+	1.139780703	SAVERM_5445	S
8341766	+	3.504024898	SAVERM_6983	P
2528064	+	51.81758177	SAVERM_2075	P
3852662	+	0.815244786	SAVERM_3081	P
6815296	+	43.35906745	SAVERM_5635	P
8171075	+	6.84880289	SAVERM_6844	P
7618377	+	647.4765232	SAVERM_6349	P
7618444	+	1.826134596	SAVERM_6349	S
6807573	+	3.196533698	SAVERM_5629	P
7765098	+	1.320689691	SAVERM_6486	P
7319160	+	0.854835527	SAVERM_6082	S
7319162	+	0.854835527	SAVERM_6082	P
5526663	+	302.525326	SAVERM_4523	P
1274409	+	55.80042898	SAVERM_1007	P
7022121	+	5.417150964	SAVERM_t58	S
7022058	+	683.7279244	SAVERM_t58	P
6227203	+	2.730679535	SAVERM_5126	P
5873713	+	0.517872258	SAVERM_4831	P
6344265	+	1.903007395	SAVERM_5235	P
6956527	+	1.308262338	SAVERM_5752	P
7099483	+	3.45893285	SAVERM_5888	S
7099638	+	6.199731056	SAVERM_5888	P
6142319	+	1.320689691	SAVERM_5066	P
4825003	+	15.90491175	SAVERM_3904	P
3176852	+	2.720560864	SAVERM_2583	P
5978120	+	7.922713406	SAVERM_4916	P
6876121	+	0.349390623	SAVERM_t57	S
6876115	+	0.349390623	SAVERM_t57	S
6875996	+	0.646763151	SAVERM_t57	P
7346927	+	2.941060593	SAVERM_6109	P
1872256	+	3.92016965	SAVERM_1529	P
6460192	+	3.290451215	SAVERM_5330	S
6460363	+	1.268671597	SAVERM_5330	S
6460039	+	19.0563534	SAVERM_5330	P
6967173	+	8.375256274	SAVERM_5762	P
1415355	+	3.406914756	SAVERM_1127	P
5965040	+	33.58713263	SAVERM_4908	P
2208265	+	0.401408717	SAVERM_1806	P
6983235	+	3.79589612	SAVERM_5776	P
6552949	+	1.256244244	SAVERM_5404	P
5443017	+	4.148479367	SAVERM_4458	P
2451475	+	0.530299611	SAVERM_2011	P
7297142	+	1.957334172	SAVERM_6062	S
7297191	+	13.09505073	SAVERM_6062	P
5966006	+	41.37545383	SAVERM_4909	P
6798608	+	1.231389538	SAVERM_5619	P
6143248	+	128.5188227	SAVERM_5067	P
5068199	+	22.99391091	SAVERM_t25	P
4020587	+	2.264825371	SAVERM_3224	P
7435379	+	0.41383607	SAVERM_6188	P
5231751	+	0.646763151	SAVERM_4264	P
3771841	+	134.4159709	SAVERM_3016	P
5852645	+	0.401408717	SAVERM_4810	P
6019320	+	2.581551299	SAVERM_4969	P
5255910	+	17.17215861	SAVERM_4290	P
3035449	+	1.761689149	SAVERM_2487	P
6023010	+	0.401408717	SAVERM_4975	P
4220882	+	94.41661515	SAVERM_3398	P
7326056	+	0.594745057	SAVERM_6087	P
7326105	+	0.349390623	SAVERM_6087	S
6040838	+	250.6626	SAVERM_4991	P
5103031	+	8.365137603	SAVERM_4154	P
787004	+	1.008581127	SAVERM_633	P
5992558	+	68.4752584	SAVERM_4935	P
6270535	+	0.517872258	SAVERM_5162	P
8115978	+	0.788081398	SAVERM_6795	P
8115877	+	0.453426811	SAVERM_6795	S
3145043	+	22.22891634	SAVERM_2564	P
5786614	+	0.646763151	SAVERM_4745	P
3924819	+	2.14836183	SAVERM_3150	P
5973173	+	24.21022127	SAVERM_4914	P
6600432	+	0.763226692	SAVERM_5442	P
8129688	+	21.57522714	SAVERM_t66	P
3769617	+	0.906853621	SAVERM_3013	P
4632882	+	0.569890352	SAVERM_3744	P
7823954	+	0.686353892	SAVERM_6535	P
7011747	+	81.53852838	SAVERM_5805	P
6985904	+	0.711208598	SAVERM_5780	P
6144237	+	1.957334172	SAVERM_5068	P
5072686	+	537.2913129	SAVERM_4133	P
3032850	+	3.758614061	SAVERM_2484	P
5291302	+	0.86726288	SAVERM_4318	P
3742098	+	31.23497264	SAVERM_2984	P
2689301	+	4.752459153	SAVERM_2209	P
2466721	+	0.349390623	SAVERM_2025	P
1374959	+	2.876615146	SAVERM_1086	P
6042643	+	997.2955012	SAVERM_4992	P
5085855	+	138.0660769	SAVERM_t27	P
7157854	+	1.164635409	SAVERM_5945	P
5981242	+	62.6009472	SAVERM_4919	P
5961672	+	0.738371986	SAVERM_4905	S
5961836	+	4.319269684	SAVERM_4905	P
2498758	+	0.686353892	SAVERM_2046	P
2040856	+	0.453426811	SAVERM_1668	P
3655943	+	691.5157048	SAVERM_t12	P
6277114	+	22.67915052	SAVERM_5169	P
6000545	+	29.66234561	SAVERM_4949	P
5996271	+	9.388454766	SAVERM_4943	P
6203146	+	532.2616252	SAVERM__m2	P
5378847	+	46.82723503	SAVERM_4395	P
8241447	+	2.017162254	SAVERM_6908	P
8519251	+	1.048171868	SAVERM_7158	P
3169177	+	0.646763151	SAVERM_2578	P
4798775	+	1.333117044	SAVERM_3883	P
3253286	+	1.932479466	SAVERM_2653	P
6673467	+	6.608949761	SAVERM_5497	S
6673341	+	33.04725514	SAVERM_5497	P
5081712	+	3193.979665	SAVERM_4141	P
8470801	+	63.96781053	SAVERM_7110	P
5855843	+	0.453426811	SAVERM_4814	P
4589759	+	0.775654045	SAVERM_3707	P
7356825	+	0.517872258	SAVERM_6116	P
7071839	+	0.646763151	SAVERM_5863	P
2440695	+	4.172450131	SAVERM_2000	P
3014570	+	2.6390707	SAVERM_2468	P
5797432	+	4.222159543	SAVERM_4753	P
7207758	+	2.257015382	SAVERM_5982	P
1075043	+	15.49107568	SAVERM_896	P
1075340	+	0.401408717	SAVERM_896	S
3033739	+	85.72910482	SAVERM_2485	P
8718580	+	0.557462999	SAVERM_7309	P
3310463	+	1.20422615	SAVERM_2700	P
6157147	+	1.100189962	SAVERM_5075	P
7286351	+	5.287376128	SAVERM_6052	P
6006901	+	240.3961296	SAVERM_4958	P
6090360	+	3.263287827	SAVERM_5031	P
5605283	+	0.453426811	SAVERM_4590	P
6649836	+	1.177062762	SAVERM_5477	P
3914968	+	2.3315795	SAVERM_3142	P
7494474	+	55.24758335	SAVERM_6233	P
7003900	+	0.94413568	SAVERM_5798	P
5312582	+	0.569890352	SAVERM_4336	P
3824917	+	1.048171868	SAVERM_3062	P
3819761	+	0.530299611	SAVERM_3056	S
3819333	+	0.569890352	SAVERM_3056	P
5945496	+	0.517872258	SAVERM_4890	P
8203955	+	88.70032377	SAVERM_6874	P
5721043	+	40.44571104	SAVERM_4695	P
7210045	+	1.318381009	SAVERM_5984	P
6482858	+	21.15038845	SAVERM_5347	P
4671380	+	26.25916428	SAVERM_3778	P
4918832	+	0.79039008	SAVERM_3996	P
3930047	+	211.2020923	SAVERM_3154	P
7470478	+	1.568352808	SAVERM_6217	P
6637608	+	1.996924913	SAVERM_5466	P
6003040	+	29.57943071	SAVERM_4953	P
6606382	+	102.8764087	SAVERM_5446	P
7499785	+	3.16937031	SAVERM_6240	P
7499573	+	0.738371986	SAVERM_6240	S
2756907	+	2.866496475	SAVERM_2259	P
2165070	+	0.738371986	SAVERM_1770	P
7605330	+	46.19378317	SAVERM_6339	P
5843072	+	21.67837938	SAVERM_4801	P
5298458	+	6.893010995	SAVERM_4322	P
7346362	+	1.538880738	SAVERM_6108	P
6555032	+	0.996153774	SAVERM_5405	S
6554885	+	1.719789725	SAVERM_5405	P
6248833	+	0.67392654	SAVERM_5142	P
7169743	+	9.452900213	SAVERM_5954	P
2947800	+	29.10861603	SAVERM_2418	P
2947637	+	0.517872258	SAVERM_2418	S
7752876	+	44.71242183	SAVERM_6472	P
5554720	+	63.5687105	SAVERM_4547	P
5554829	+	1.670080314	SAVERM_4547	S
5160792	+	1.590898832	SAVERM_4205	P
2469008	+	2.108771089	SAVERM_2027	P
2469045	+	1.293526303	SAVERM_2027	S
1426141	+	75.72424292	SAVERM_1137	P
7745540	+	1.54118942	SAVERM_6467	P
7585920	+	2.096343736	SAVERM_6316	P
8709642	+	4.933368141	SAVERM_7302	P
8709534	+	0.401408717	SAVERM_7302	S
8217342	+	1.191798797	SAVERM_6884	P
4686390	+	0.736063304	SAVERM_3789	P
8577064	+	0.815244786	SAVERM_t68	S
8577108	+	1.707362373	SAVERM_t68	P
3810157	+	0.401408717	SAVERM_3050	P
3504593	+	2.938751911	SAVERM_2858	P
6616790	+	0.86726288	SAVERM_5453	P
3744652	+	42.80248839	SAVERM_2988	P
6227873	+	76.85744072	SAVERM_5127	P
841546	+	0.686353892	SAVERM_687	P
6001829	+	136.4482645	SAVERM_4952	P
5878778	+	0.557462999	SAVERM_4835	P
5837341	+	7.007165854	SAVERM_4796	P
5837381	+	5.453549081	SAVERM_4796	S
8905367	+	0.349390623	SAVERM_7476	P
4166268	+	15.72862013	SAVERM_3348	P
3309810	+	9.425736824	SAVERM_2699	P
5979004	+	15.31797668	SAVERM_4918	P
6631619	+	0.465854164	SAVERM_5464	P
8605987	+	2.631260711	SAVERM_7221	P
6580382	+	35.50949342	SAVERM_5426	P
1375965	+	1.268671597	SAVERM_1087	P
1343289	+	1.489171326	SAVERM_1064	P
5187570	+	0.530299611	SAVERM_4230	S
5187503	+	38.76958862	SAVERM_4230	P
6653922	+	124.8620295	SAVERM_t53	P
6654004	+	24.64375388	SAVERM_t53	S
3432633	+	0.349390623	SAVERM_2796	P
7546920	+	23.31756289	SAVERM_6286	P
7547148	+	2.083916383	SAVERM_6286	S
5956794	+	1979.002064	SAVERM_t42	P
889912	+	13.88544081	SAVERM_740	P
5276951	+	1.528762067	SAVERM_4304	P
5198410	+	3.404606074	SAVERM_4238	P
8503514	+	1.605634867	SAVERM_7143	P
5278491	+	86.38225322	SAVERM_4306	P
5128977	+	3.712097274	SAVERM_4179	P
7845730	+	0.582317705	SAVERM_6553	S
7845854	+	4.55681413	SAVERM_6553	P
5957096	+	321.7577212	SAVERM_4900	P
7810675	+	0.646763151	SAVERM_6523	P
7531429	+	1.008581127	SAVERM_6274	P
5304978	+	638.4663904	SAVERM_t35	P
7652594	+	77.89352838	SAVERM_6380	P
7652714	+	11.41573569	SAVERM_6380	S
7653005	+	1.305953656	SAVERM_6380	S
6670835	+	20.25222876	SAVERM_5493	P
6264046	+	19.33260465	SAVERM_5155	P
8187613	+	0.983726421	SAVERM_6859	P
4998712	+	3.226005769	SAVERM_4078	P
7760373	+	0.67392654	SAVERM_6480	P
4898019	+	17.98882813	SAVERM_3971	P
8306314	+	0.517872258	SAVERM_6960	P
8197607	+	1.347853079	SAVERM_6867	P
5702231	+	4.873540058	SAVERM_4675	P
4832137	+	0.41383607	SAVERM_3911	P
5731758	+	11.91106192	SAVERM_4702	P
2381557	+	0.349390623	SAVERM_1946	P
5008810	+	0.453426811	SAVERM_4089	S
5008739	+	0.634335798	SAVERM_4089	P
6230600	+	34.06595494	SAVERM_5130	P
7802293	+	5.973730021	SAVERM_6512	P
7441585	+	9.757198788	SAVERM_6190	P
6197491	+	99.69352946	SAVERM_5102	P
6926559	+	0.517872258	SAVERM_5726	P
5359968	+	24.52463852	SAVERM_4378	P
6277927	+	9.016518119	SAVERM_5170	P
1324917	+	1.645225608	SAVERM_1048	P
4633761	+	0.517872258	SAVERM_3745	P
3439265	+	2.614215994	SAVERM_2801	P
2167132	+	7.894666075	SAVERM_1773	P
3072629	+	1.655344279	SAVERM_2513	P
6875755	+	28.07002204	SAVERM_t56	P
5516328	+	1.010889809	SAVERM_4514	P
5827515	+	1.139780703	SAVERM_4783	P
6712604	+	2.643688064	SAVERM_5549	P
4622257	+	1.308262338	SAVERM_3737	P
5675228	+	22.77075936	SAVERM_4650	P
1972810	+	0.802817433	SAVERM_1605	P
2412609	+	0.41383607	SAVERM_1975	P
3783279	+	0.750799339	SAVERM_3025	P
3005604	+	0.983726421	SAVERM_2463	S
3005478	+	2.924015876	SAVERM_2463	P
1223984	+	9.567055071	SAVERM_964	P
1224316	+	3.897623626	SAVERM_964	S
1224271	+	2.242279347	SAVERM_964	S
3496077	+	8.255600109	SAVERM_2853	P
7173294	+	4.643805601	SAVERM_5958	P
7773133	+	7.223048218	SAVERM_6488	P
5719064	+	7.970654933	SAVERM_4692	P
2758464	+	1.955025489	SAVERM_2260	P
2758414	+	1.100189962	SAVERM_2260	S
4811886	+	2.163097865	SAVERM_3896	P
7746392	+	0.79039008	SAVERM_6469	S
7746412	+	4.29672366	SAVERM_6469	P
5671735	+	1.920052113	SAVERM_4647	P
6454516	+	1.551308091	SAVERM_5325	P
6202746	+	0.829980821	SAVERM_5107	P
8920628	+	390.3777403	SAVERM_7486	P
6200872	+	11.26660746	SAVERM_5105	P
6200833	+	0.401408717	SAVERM_5105	S
7992024	+	6.011012079	SAVERM_6678	P
6482298	+	62.09407756	SAVERM_5346	P
3505727	+	4.207423508	SAVERM_2859	P
5299301	+	0.815244786	SAVERM_4323	P
6635991	+	1.69493502	SAVERM_5465	P
4872417	+	340.9362893	SAVERM_3947	P
4872667	+	1.28109895	SAVERM_3947	S
2715545	+	7.011783218	SAVERM_2234	P
7939518	+	144.9614488	SAVERM_6635	P
6830811	+	0.349390623	SAVERM_5649	P
3311020	+	2.732988217	SAVERM_2701	P
6272199	+	31.15151694	SAVERM_5164	P
5258366	+	19.41817138	SAVERM_4292	P
5063383	+	12.93988039	SAVERM_t24	P
3431807	+	0.971299068	SAVERM_2795	P
7041853	+	1.590898832	SAVERM_5834	P
8084726	+	3.263287827	SAVERM_6767	P
8712903	+	2.973725287	SAVERM_7304	P
4121852	+	0.453426811	SAVERM_3310	P
7612142	+	0.465854164	SAVERM_6346	P
2711769	+	2.059061677	SAVERM_2231	P
2712051	+	0.465854164	SAVERM_2231	S
3443351	+	0.67392654	SAVERM_2803	P
6061728	+	1.763997831	SAVERM_5006	P
6604738	+	3.969879062	SAVERM_t52	P
6483528	+	46.38304295	SAVERM_5348	P
5372445	+	9.563862447	SAVERM_4391	P
4590242	+	0.750799339	SAVERM_t18	S
4589835	+	1518.068446	SAVERM_t18	P
7598281	+	11.72926899	SAVERM_6331	P
4350284	+	22.61966558	SAVERM_3515	P
5688943	+	0.86726288	SAVERM_4663	P
5643784	+	6.142211655	SAVERM_4621	P
5748890	+	0.634335798	SAVERM_4716	P
5444980	+	7.85188271	SAVERM_4459	P
1440603	+	31.37575009	SAVERM_1151	P
5016211	+	2.031898289	SAVERM_4098	P
5134057	+	22.2528871	SAVERM_4184	P
5946957	+	1.320689691	SAVERM_4892	P
1829390	+	1.333117044	SAVERM_1485	P
5245521	+	2.502369817	SAVERM_4278	P
2346488	+	3.434078144	SAVERM_1917	P
4157014	+	1.449580585	SAVERM_3341	P
7335201	+	77.62705266	SAVERM_6098	P
7593884	+	10.44212794	SAVERM_6325	P
5949384	+	28.88757551	SAVERM_4895	P
5949586	+	0.621908446	SAVERM_4895	S
8200179	+	13.36064251	SAVERM_6870	P
2090907	+	5.713639551	SAVERM_1710	P
8348268	+	16.97012834	SAVERM_6987	P
8493827	+	0.41383607	SAVERM_7132	P
7998464	+	47.62862772	SAVERM_6685	P
4713907	+	0.401408717	SAVERM_3810	P
6609164	+	46.45672312	SAVERM_5448	P
8934178	+	0.582317705	SAVERM_7497	P
7094075	+	11148.64682	SAVERM_m3	P
7094223	+	0.41383607	SAVERM_m3	S
7024213	+	1.345544397	SAVERM_5816	P
7289994	+	242.2300742	SAVERM_6055	P
7736332	+	2.187952571	SAVERM_6458	P
5517174	+	273.8691073	SAVERM_4515	P
891036	+	0.349390623	SAVERM_741	S
890972	+	14.89952325	SAVERM_741	P
2267931	+	61.95826062	SAVERM_1849	P
7009007	+	9.232400484	SAVERM_5802	P
6443119	+	37.31519302	SAVERM_5315	P
4205025	+	2.034206971	SAVERM_3383	P
5650390	+	328.2190608	SAVERM_t39	P
7338008	+	9.986392447	SAVERM_6101	P
6324113	+	1.112617315	SAVERM_5217	P
8604783	+	0.67392654	SAVERM_7220	P
8140014	+	33.52357112	SAVERM_t67	P
7812231	+	4.011778485	SAVERM_6524	P
5273448	+	0.465854164	SAVERM_4301	P
4159853	+	2.448043041	SAVERM_3343	P
8431762	+	2.031898289	SAVERM_7068	P
7391793	+	2.152979195	SAVERM_6143	P
4813836	+	0.869571562	SAVERM_3898	S
4813789	+	0.892117586	SAVERM_3898	P
4247688	+	0.465854164	SAVERM_3426	P
4089030	+	4.356551743	SAVERM_3286	P
5783366	+	2.044325642	SAVERM_4742	P
6332801	+	1.330808362	SAVERM_5223	P
69455	+	32.20430617	SAVERM_59	P
5339156	+	0.686353892	SAVERM_4360	P
79935	+	33.65246201	SAVERM_71	P
6614439	+	10.52504284	SAVERM_5451	P
973930	+	1.796662525	SAVERM_822	P
974099	+	0.41383607	SAVERM_822	S
7827264	+	1.927862101	SAVERM_6538	P
7827299	+	1.746953114	SAVERM_6538	S
4466880	+	0.775654045	SAVERM_3608	P
7025458	+	0.750799339	SAVERM_5817	S
7025495	+	1.607943549	SAVERM_5817	P
3099242	+	0.557462999	SAVERM_2528	P
57861	+	129.2663251	SAVERM_47	P
6573351	+	5.622030716	SAVERM_5421	P
1390237	+	1.308262338	SAVERM_1104	P
7383139	+	0.698781245	SAVERM_6138	P
5958133	+	6.375138737	SAVERM_4902	P
3512974	+	17.5703747	SAVERM_2867	P
7487844	+	3.916977025	SAVERM_6229	P
5969114	+	1122.083601	SAVERM_4913	P
2955554	+	0.906853621	SAVERM_2423	P
5994162	+	351.1589991	SAVERM_4939	P
4472550	+	19.98806173	SAVERM_3616	P
4152164	+	3.76642405	SAVERM_3337	P
904466	+	1.528762067	SAVERM_754	P
7844053	+	0.349390623	SAVERM_6552	P
5287994	+	5.644576739	SAVERM_4316	P
6204201	+	8.192038604	SAVERM_5108	P
2912498	+	2.462779076	SAVERM_2386	P
4172658	+	3.768732732	SAVERM_3356	P
5482811	+	0.711208598	SAVERM_4486	P
5241757	+	1.722098408	SAVERM_4275	P
8055801	+	8.263410098	SAVERM_6739	P
7707171	+	2.817671005	SAVERM_6426	P
3755739	+	0.67392654	SAVERM_2998	P
7707659	+	97.53681685	SAVERM_6427	P
5002131	+	1.590898832	SAVERM_4081	P
8156506	+	40.65697604	SAVERM_6832	P
3767925	+	3.818442144	SAVERM_3011	P
7652255	-	-0.41383607	SAVERM_6381	P
4740632	-	-2.866496475	SAVERM_3837	P
5365759	-	-0.505444905	SAVERM_4385	P
4129752	-	-61.94603092	SAVERM_3319	P
1540425	-	-11.90644456	SAVERM_1241	P
7904102	-	-9.20842972	SAVERM_6607	P
6336123	-	-7.720683134	SAVERM_5227	P
3661764	-	-1.672388996	SAVERM_2925	P
8166622	-	-4.590903565	SAVERM_6841	P
6985730	-	-0.41383607	SAVERM_5781	P
1454748	-	-4.194996155	SAVERM_1165	P
1454661	-	-2.215115959	SAVERM_1165	S
3556376	-	-2.366552877	SAVERM_2895	P
5930586	-	-0.894426268	SAVERM_4878	P
3998490	-	-9.098008283	SAVERM_3207	P
7292910	-	-1.075335256	SAVERM_6058	P
4267773	-	-10.48314342	SAVERM_3444	P
3630185	-	-1.048171868	SAVERM_2902	P
2381478	-	-0.401408717	SAVERM_1947	P
5057407	-	-1.320689691	SAVERM_4123	P
5876545	-	-5.332468176	SAVERM_4834	P
4326525	-	-0.401408717	SAVERM_3493	P
4688226	-	-0.401408717	SAVERM_3792	P
6875016	-	-0.478281517	SAVERM_5684	P
2286925	-	-63.74392053	SAVERM_1862	P
7250582	-	-260.7697824	SAVERM_6022	P
3892953	-	-287.8955233	SAVERM_3119	P
8028306	-	-1.048171868	SAVERM_6713	P
5051925	-	-10.03379318	SAVERM_t20	P
6335066	-	-23.37188966	SAVERM_t47	P
6279028	-	-14.03864562	SAVERM_t45	P
6278988	-	-0.842408174	SAVERM_t45	S
1272811	-	-14.35591234	SAVERM_1006	P
3091581	-	-2.483016418	SAVERM_2526	P
6349255	-	-43.16145689	SAVERM_t48	P
3744588	-	-1.399871173	SAVERM_2989	P
1824727	-	-22.80661668	SAVERM_1480	P
5168470	-	-1.603326185	SAVERM_4213	P
2459999	-	-3.375134004	SAVERM_2018	P
5619957	-	-0.465854164	SAVERM_4602	P
5724527	-	-0.634335798	SAVERM_4698	P
3089361	-	-227.955059	SAVERM_2524	P
2894438	-	-0.646763151	SAVERM_2370	P
7033309	-	-49.43486812	SAVERM_5827	P
7697273	-	-1.531070749	SAVERM_6418	P
7582369	-	-1.798971208	SAVERM_6315	P
8008260	-	-2.111079771	SAVERM_6696	P
3350828	-	-5.738494257	SAVERM_2730	P
4167484	-	-3.888388897	SAVERM_3351	P
7954950	-	-0.854835527	SAVERM_6650	P
7753877	-	-0.349390623	SAVERM_6474	P
7753878	-	-0.349390623	SAVERM_6474	S
2773831	-	-2.945677957	SAVERM_2276	P
3525384	-	-3.080070157	SAVERM_2880	P
4259436	-	-67.226481	SAVERM_3436	P
3169136	-	-0.634335798	SAVERM_2579	S
3169240	-	-3.367324015	SAVERM_2579	P
5001841	-	-0.582317705	SAVERM_4082	S
5002114	-	-1.503907361	SAVERM_4082	S
5002085	-	-1.603326185	SAVERM_4082	P
3914926	-	-28.32141858	SAVERM_3143	P
4034730	-	-0.67392654	SAVERM_3237	S
4034643	-	-1.100189962	SAVERM_3237	P
1258943	-	-2.366552877	SAVERM_993	P
3953841	-	-4.524149436	SAVERM_3177	P
848290	-	-1.218962185	SAVERM_694	P
4918362	-	-4.539769413	SAVERM_3997	P
4918447	-	-0.478281517	SAVERM_3997	S
8188739	-	-13.19677824	SAVERM_6861	P
3832661	-	-172.2939828	SAVERM_3071	P
8470760	-	-1.553616773	SAVERM_7111	P
3290857	-	-5.233049352	SAVERM_2685	P
5596996	-	-6.497103585	SAVERM_4583	P
6324128	-	-1.555925455	SAVERM_5218	P
3939682	-	-7.977040182	SAVERM_3162	P
8483537	-	-0.750799339	SAVERM_7123	P
6460294	-	-52.50801223	SAVERM_5331	P
6184516	-	-3.325424592	SAVERM_5096	P
6712768	-	-0.465854164	SAVERM_5550	S
6712553	-	-2.441116995	SAVERM_5550	P
6712604	-	-0.802817433	SAVERM_5550	S
6712694	-	-0.79039008	SAVERM_5550	S
6695792	-	-0.829980821	SAVERM_5526	S
6695747	-	-2.512488488	SAVERM_5526	P
6067318	-	-29.06209925	SAVERM_5011	P
4950590	-	-1.216653503	SAVERM_4030	P
4435890	-	-0.711208598	SAVERM_3584	P
6383134	-	-15.75347483	SAVERM_5269	P
5195702	-	-0.686353892	SAVERM_4236	P
6810548	-	-4.623568259	SAVERM_5631	P
3295250	-	-14.86454987	SAVERM_t7	P
5349617	-	-1.333117044	SAVERM_4371	P
3532603	-	-4.016395849	SAVERM_2888	P
846451	-	-0.349390623	SAVERM_693	P
5248461	-	-12.26737859	SAVERM_4283	P
8053246	-	-8.858155155	SAVERM_6736	P
5236953	-	-2.200379924	SAVERM_4269	P
6913021	-	-10.72157181	SAVERM_5716	P
4321653	-	-2.462779076	SAVERM_3488	P
8122465	-	-8.497221122	SAVERM_t62	P
6084951	-	-0.41383607	SAVERM_5027	P
3796255	-	-20.38716176	SAVERM_3037	P
2774971	-	-2.194878618	SAVERM_2277	P
3864625	-	-0.659190504	SAVERM_3091	S
3864789	-	-1.437153232	SAVERM_3091	P
3648604	-	-2.108771089	SAVERM_2916	P
5259931	-	-10.08954469	SAVERM_4294	P
6426485	-	-0.41383607	SAVERM_5302	P
4372156	-	-78.88580324	SAVERM_3533	P
8348123	-	-0.453426811	SAVERM_6988	S
8348223	-	-83.70373727	SAVERM_6988	P
6956656	-	-3.677123897	SAVERM_5753	P
3879023	-	-0.465854164	SAVERM_3106	P
3813046	-	-6.093386186	SAVERM_t13	P
3226351	-	-1.942598136	SAVERM_2627	P
4974866	-	-0.41383607	SAVERM_4056	P
7509609	-	-0.505444905	SAVERM_6251	P
7509532	-	-0.453426811	SAVERM_6251	S
8104422	-	-0.67392654	SAVERM_6787	P
387600	-	-6.368212691	SAVERM_330	P
3771802	-	-1.786543855	SAVERM_3017	P
4575259	-	-0.931708327	SAVERM_3698	P
8128362	-	-2.031898289	SAVERM_6810	S
8128301	-	-22.1948269	SAVERM_6810	P
8752962	-	-2.824597052	SAVERM_7338	P
3240986	-	-1.709671055	SAVERM_2645	P
3815560	-	-2.086225065	SAVERM_3055	P
8482430	-	-0.971299068	SAVERM_7122	P
4856711	-	-4.811403294	SAVERM_3933	P
5160755	-	-0.349390623	SAVERM_4206	P
4638160	-	-0.530299611	SAVERM_3748	S
4638050	-	-0.659190504	SAVERM_3748	P
7142665	-	-22.95397703	SAVERM_5931	P
7347138	-	-1.033435833	SAVERM_6110	P
3228132	-	-0.775654045	SAVERM_2629	P
5685317	-	-196.9580261	SAVERM_4661	P
7937462	-	-40.36402322	SAVERM_t60	P
4572081	-	-0.996153774	SAVERM_3694	P
8503223	-	-0.465854164	SAVERM_7144	P
3313288	-	-1.010889809	SAVERM_2704	P
7235331	-	-24.07902169	SAVERM_6009	P
3257099	-	-46.33333353	SAVERM_2657	P
3930004	-	-16.82011616	SAVERM_3155	P
2801291	-	-2.242279347	SAVERM_2299	P
5085855	-	-5.143749199	SAVERM_4146	P
3082130	-	-10.98627964	SAVERM_2517	P
4626189	-	-0.349390623	SAVERM_3742	P
3408786	-	-326.8077505	SAVERM_2780	P
8461102	-	-25.74394385	SAVERM_7099	P
6290510	-	-0.349390623	SAVERM_5184	P
3492551	-	-44.24514293	SAVERM_2848	P
5671698	-	-16.5898409	SAVERM_4648	P
5651640	-	-0.67392654	SAVERM_4627	S
5651714	-	-1.12735335	SAVERM_4627	P
5651491	-	-0.686353892	SAVERM_4627	S
5279412	-	-25.82278218	SAVERM_4308	P
4658088	-	-1.969761525	SAVERM_3769	P
5793896	-	-2.730679535	SAVERM_4751	P
4135624	-	-0.557462999	SAVERM_3322	S
4135684	-	-7.743229158	SAVERM_3322	P
4207365	-	-0.478281517	SAVERM_3386	P
2030591	-	-1.023317162	SAVERM_1659	P
5359928	-	-108.3656696	SAVERM_4379	P
3141732	-	-7.770392546	SAVERM_2562	P
6851947	-	-1.682507667	SAVERM_5664	P
6558274	-	-2.316843465	SAVERM_5410	P
